# Time forceX forceY forceZ normalForce area
0.53 97.0542 1138.7 3.49968e-05 1138.71 (2.07665e-10 2.99792e-05 -4.01347e-15)
0.54 96.5863 1115.51 3.64022e-05 1115.52 (2.02771e-10 2.99792e-05 -2.42138e-15)
0.55 96.2512 1093.43 3.58235e-05 1093.43 (1.98067e-10 2.99792e-05 -5.86581e-16)
0.56 96.0352 1072.37 3.8978e-05 1072.37 (1.93539e-10 2.99792e-05 1.17018e-15)
0.57 95.9263 1052.25 4.10982e-05 1052.26 (1.89177e-10 2.99792e-05 1.57668e-15)
0.58 95.9138 1033.03 3.09657e-05 1033.03 (1.84971e-10 2.99792e-05 7.32383e-16)
0.59 95.9883 1014.64 3.33194e-05 1014.64 (1.80911e-10 2.99792e-05 -7.74584e-16)
0.6 96.1415 997.015 4.26279e-05 997.016 (1.7699e-10 2.99792e-05 -2.32687e-15)
0.61 96.3658 980.122 3.8926e-05 980.123 (1.73199e-10 2.99792e-05 -3.64739e-15)
0.62 96.6547 963.91 4.02225e-05 963.911 (1.69532e-10 2.99792e-05 -4.56966e-15)
0.63 97.0022 948.339 4.16692e-05 948.34 (1.65981e-10 2.99792e-05 -4.58729e-15)
0.64 97.4031 933.372 4.63889e-05 933.373 (1.62541e-10 2.99792e-05 -3.52003e-15)
0.65 97.8525 918.975 4.9745e-05 918.976 (1.59206e-10 2.99792e-05 -1.67086e-15)
