# Time forceX forceY forceZ normalForce area
0 0 0 0 0 (0 3.51638e-06 0)
0.01 53.9585 251.214 -1.52966e-07 251.215 (5.87958e-11 3.51635e-06 -3.38578e-31)
0.02 105.166 487.206 -1.64542e-07 487.211 (1.13697e-10 3.51633e-06 2.60413e-29)
0.03 127.515 593.802 -1.93005e-07 593.809 (1.37763e-10 3.51631e-06 -1.21719e-31)
0.04 128.664 607.731 -2.14703e-07 607.739 (1.39832e-10 3.51631e-06 3.23213e-27)
