Strain,Stress
0.0008766233766233783, 87.40157480314963
0.0016233766233766248, 158.26771653543307
0.002337662337662339, 227.55905511811022
0.0028246753246753244, 271.6535433070866
0.0032142857142857155, 303.93700787401576
0.003474025974025974, 325.19685039370074
0.003603896103896103, 334.64566929133855
0.003863636363636365, 344.09448818897636
0.004090909090909092, 348.8188976377953
0.004383116883116884, 347.244094488189
0.004512987012987015, 337.00787401574803
0.004545454545454546, 299.21259842519686
0.004545454545454546, 192.12598425196853

